Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1961","1961","toneladas","14000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1962","1962","ha","2100","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1962","1962","kg/ha","6666.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1962","1962","toneladas","14000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1963","1963","ha","1800","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1963","1963","kg/ha","6666.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1963","1963","toneladas","12000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1964","1964","ha","1800","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1964","1964","kg/ha","6666.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1964","1964","toneladas","12000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1965","1965","ha","2400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1965","1965","kg/ha","6666.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1965","1965","toneladas","16000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1966","1966","ha","2400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1966","1966","kg/ha","6666.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1966","1966","toneladas","16000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1967","1967","ha","2400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1967","1967","kg/ha","7083.3","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1967","1967","toneladas","17000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1968","1968","ha","2500","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1968","1968","kg/ha","7200","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1968","1968","toneladas","18000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1969","1969","ha","2600","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1969","1969","kg/ha","6923.1","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1969","1969","toneladas","18000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1970","1970","ha","2600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1970","1970","kg/ha","7500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1970","1970","toneladas","19500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1971","1971","ha","2700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1971","1971","kg/ha","6963","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1971","1971","toneladas","18800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1972","1972","ha","2700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1972","1972","kg/ha","7259.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1972","1972","toneladas","19600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1973","1973","ha","2800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1973","1973","kg/ha","7535.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1973","1973","toneladas","21100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1974","1974","ha","2900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1974","1974","kg/ha","7482.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1974","1974","toneladas","21700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1975","1975","ha","3000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1975","1975","kg/ha","7433.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1975","1975","toneladas","22300","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1976","1976","ha","3000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1976","1976","kg/ha","7600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1976","1976","toneladas","22800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1977","1977","ha","3100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1977","1977","kg/ha","7032.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1977","1977","toneladas","21800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1978","1978","ha","3400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1978","1978","kg/ha","6382.4","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1978","1978","toneladas","21700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1979","1979","ha","5000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1979","1979","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1979","1979","toneladas","35000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1980","1980","ha","5100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1980","1980","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1980","1980","toneladas","35700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1981","1981","ha","5300","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1981","1981","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1981","1981","toneladas","37100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1982","1982","ha","5400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1982","1982","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1982","1982","toneladas","37800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1983","1983","ha","5600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1983","1983","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1983","1983","toneladas","39200","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1984","1984","ha","5700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1984","1984","kg/ha","7000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1984","1984","toneladas","39900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1985","1985","ha","5800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1985","1985","kg/ha","7017.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1985","1985","toneladas","40700","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1986","1986","ha","5600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1986","1986","kg/ha","7482.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1986","1986","toneladas","41900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1987","1987","ha","5800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1987","1987","kg/ha","7448.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1987","1987","toneladas","43200","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1988","1988","ha","5800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1988","1988","kg/ha","7586.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1988","1988","toneladas","44000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1989","1989","ha","5900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1989","1989","kg/ha","7610.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1989","1989","toneladas","44900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1990","1990","ha","5300","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1990","1990","kg/ha","7547.2","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1990","1990","toneladas","40000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1991","1991","ha","6148","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1991","1991","kg/ha","11542.3","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1991","1991","toneladas","70962","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1992","1992","ha","5400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1992","1992","kg/ha","14242.8","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1992","1992","toneladas","76911","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1993","1993","ha","5829","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1993","1993","kg/ha","14300.6","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1993","1993","toneladas","83353","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1994","1994","ha","5400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1994","1994","kg/ha","16728.5","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1994","1994","toneladas","90334","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1995","1995","ha","4600","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1995","1995","kg/ha","13205","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1995","1995","toneladas","60743","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1996","1996","ha","3985","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1996","1996","kg/ha","14685.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1996","1996","toneladas","58520","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1997","1997","ha","4013","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1997","1997","kg/ha","15040.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1997","1997","toneladas","60356","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1998","1998","ha","4042","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1998","1998","kg/ha","15341.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1998","1998","toneladas","62012","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","1999","1999","ha","6000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","1999","1999","kg/ha","10618.8","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","1999","1999","toneladas","63713","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2000","2000","ha","8401","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2000","2000","kg/ha","7439.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2000","2000","toneladas","62500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2001","2001","ha","8241","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2001","2001","kg/ha","7439.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2001","2001","toneladas","61310","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2002","2002","ha","8083","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2002","2002","kg/ha","7440.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2002","2002","toneladas","60143","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2003","2003","ha","8194","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2003","2003","kg/ha","7439.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2003","2003","toneladas","60960","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2004","2004","ha","8305","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2004","2004","kg/ha","7440.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2004","2004","toneladas","61790","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2005","2005","ha","8418","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2005","2005","kg/ha","7440","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2005","2005","toneladas","62630","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2006","2006","ha","8532","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2006","2006","kg/ha","7440.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2006","2006","toneladas","63480","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2007","2007","ha","8600","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2007","2007","kg/ha","7481.4","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2007","2007","toneladas","64340","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2008","2008","ha","8766","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2008","2008","kg/ha","7440.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2008","2008","toneladas","65220","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2009","2009","ha","8886","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2009","2009","kg/ha","7440","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2009","2009","toneladas","66112","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2010","2010","ha","9008","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2010","2010","kg/ha","7439.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2010","2010","toneladas","67016","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2011","2011","ha","9466","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2011","2011","kg/ha","7176.2","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2011","2011","toneladas","67933","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2012","2012","ha","9163","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2012","2012","kg/ha","7258.4","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2012","2012","toneladas","66509.09","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2013","2013","ha","8901","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2013","2013","kg/ha","7336.6","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2013","2013","toneladas","65302.79","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2014","2014","ha","8895","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2014","2014","kg/ha","7176.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2014","2014","toneladas","63837.79","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2015","2015","ha","9162","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2015","2015","kg/ha","6906.5","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2015","2015","toneladas","63275.04","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5312","Área cosechada","01311","Aguacates","2016","2016","ha","9340","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5412","Rendimiento","01311","Aguacates","2016","2016","kg/ha","6714.3","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","180","República Democrática del Congo","5510","Producción","01311","Aguacates","2016","2016","toneladas","62709.21","I","Valor imputado por una agencia receptora",""
